2025-03-27 12:05:41 | INFO | bot | bot_test.py:563 | Starting bot and reminder service
2025-03-27 12:07:52 | INFO | bot | bot_test.py:563 | Starting bot and reminder service
2025-03-27 12:08:00 | INFO | bot | bot_test.py:563 | Starting bot and reminder service
2025-03-27 12:19:42 | INFO | bot | bot_test.py:566 | Starting bot and reminder service
2025-03-27 12:31:56 | INFO | bot | bot_test.py:566 | Starting bot and reminder service
2025-03-27 12:31:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:31:56.035586
2025-03-27 12:31:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:32:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:32:56.047405
2025-03-27 12:32:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:33:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:33:56.046676
2025-03-27 12:33:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:34:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:34:56.045642
2025-03-27 12:34:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:35:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:35:56.050372
2025-03-27 12:35:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:36:56 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:36:56.050769
2025-03-27 12:36:56 | INFO | bot | bot_test.py:483 | Found 0 tasks to check
2025-03-27 12:37:40 | INFO | bot | bot_test.py:550 | Starting bot and reminder service
2025-03-27 12:37:40 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:37:40.204766
2025-03-27 12:37:40 | INFO | bot | bot_test.py:482 | Found 3 tasks to check
2025-03-27 12:37:40 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:37:40 | INFO | bot | bot_test.py:490 | Time diff for task 5: 0.3299205666666667 minutes
2025-03-27 12:37:40 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:37:40 | INFO | bot | bot_test.py:490 | Time diff for task 6: 7.329920566666667 minutes
2025-03-27 12:37:40 | INFO | bot | bot_test.py:486 | Task 7: задача7 at 14:34 on 2025-3-27
2025-03-27 12:37:40 | INFO | bot | bot_test.py:490 | Time diff for task 7: 116.32992056666667 minutes
2025-03-27 12:37:40 | INFO | bot | bot_test.py:495 | Sent 2-hour reminder for task 7
2025-03-27 12:38:40 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:38:40.362864
2025-03-27 12:38:40 | INFO | bot | bot_test.py:482 | Found 4 tasks to check
2025-03-27 12:38:40 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:38:40 | INFO | bot | bot_test.py:490 | Time diff for task 5: -0.6727144 minutes
2025-03-27 12:38:40 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:38:40 | INFO | bot | bot_test.py:490 | Time diff for task 6: 6.3272856 minutes
2025-03-27 12:38:40 | INFO | bot | bot_test.py:486 | Task 8: задача8 at 13:05 on 2025-3-27
2025-03-27 12:38:40 | INFO | bot | bot_test.py:490 | Time diff for task 8: 26.3272856 minutes
2025-03-27 12:38:40 | INFO | bot | bot_test.py:499 | Sent 15-minute reminder for task 8
2025-03-27 12:38:40 | INFO | bot | bot_test.py:486 | Task 9:  задлча9 at 12:55 on 2025-3-27
2025-03-27 12:38:40 | INFO | bot | bot_test.py:490 | Time diff for task 9: 16.3272856 minutes
2025-03-27 12:38:40 | INFO | bot | bot_test.py:499 | Sent 15-minute reminder for task 9
2025-03-27 12:39:40 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:39:40.722708
2025-03-27 12:39:40 | INFO | bot | bot_test.py:482 | Found 4 tasks to check
2025-03-27 12:39:40 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:39:40 | INFO | bot | bot_test.py:490 | Time diff for task 5: -1.6787117999999999 minutes
2025-03-27 12:39:40 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:39:40 | INFO | bot | bot_test.py:490 | Time diff for task 6: 5.3212882 minutes
